call_id,call_date,agent_id,agent_name,team,call_type,call_outcome,aht_seconds,csat_score,fcr,attendance
CALL0047,10/6/2024,AG003,Rahul Verma,Team B,Inbound,Callback,249,4,No,Present
CALL0048,6/6/2024,AG001,Amit Sharma,Team A,Outbound,Callback,110,5,No,Present
CALL0049,12/7/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,323,5,Yes,Present
CALL0050,5/1/2024,AG003,Rahul Verma,Team B,Inbound,Abandoned,42,,No,Absent
CALL0051,4/1/2024,AG001,Amit Sharma,Team A,Outbound,Callback,205,4,No,Present
CALL0052,5/16/2024,AG004,Sneha Gupta,Team B,Inbound,Callback,127,3,No,Present
CALL0053,4/23/2024,AG008,Neha Patel,Team B,Inbound,Callback,217,3,No,Present
CALL0054,4/24/2024,AG004,Sneha Gupta,Team B,Inbound,Escalated,604,2,No,Present
CALL0055,6/28/2024,AG005,Vikram Yadav,Team A,Outbound,Escalated,674,2,No,Present
CALL0056,4/1/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,332,4,Yes,Present
CALL0057,9/18/2024,AG010,Divya Nair,Team A,Inbound,Resolved,327,4,No,Present
CALL0058,10/2/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,197,5,Yes,Present
CALL0059,6/2/2024,AG002,Priya Singh,Team A,Outbound,Escalated,567,2,No,Present
CALL0060,4/8/2024,AG003,Rahul Verma,Team B,Outbound,Escalated,594,3,No,Absent
CALL0061,10/18/2024,AG010,Divya Nair,Team A,Outbound,Resolved,393,3,Yes,Present
CALL0062,11/6/2024,AG010,Divya Nair,Team A,Outbound,Resolved,293,5,Yes,Present
CALL0063,12/3/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,349,5,Yes,Present
CALL0064,12/10/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,230,3,No,Late
CALL0065,2/7/2024,AG010,Divya Nair,Team A,Outbound,Resolved,341,5,Yes,Present
CALL0066,5/4/2024,AG007,Arjun Mehta,Team C,Inbound,Escalated,402,4,No,Present
CALL0067,8/5/2024,AG002,Priya Singh,Team A,Inbound,Resolved,358,4,No,Present
CALL0068,8/21/2024,AG002,Priya Singh,Team A,Inbound,Callback,270,3,No,Present
CALL0069,8/14/2024,AG006,Pooja Jain,Team C,Outbound,Callback,240,3,No,Present
CALL0070,8/18/2024,AG008,Neha Patel,Team B,Outbound,Callback,263,3,No,Present
CALL0071,11/16/2024,AG008,Neha Patel,Team B,Inbound,Resolved,199,5,Yes,Present
CALL0072,2/11/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,278,5,Yes,Present
CALL0073,6/18/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,232,5,Yes,Present
CALL0074,10/21/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,270,4,Yes,Absent
CALL0075,10/2/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,249,4,No,Present
CALL0076,3/25/2024,AG007,Arjun Mehta,Team C,Outbound,Abandoned,88,,No,Present
CALL0077,10/30/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,289,3,Yes,Present
CALL0078,6/16/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,266,5,Yes,Present
CALL0079,5/9/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,371,4,Yes,Present
CALL0080,11/29/2024,AG002,Priya Singh,Team A,Inbound,Callback,163,2,No,Present
CALL0081,5/2/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,209,5,Yes,Present
CALL0082,3/26/2024,AG006,Pooja Jain,Team C,Inbound,Callback,141,5,No,Present
CALL0083,6/8/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,363,4,Yes,Present
CALL0084,2/22/2024,AG004,Sneha Gupta,Team B,Outbound,Callback,253,4,No,Present
CALL0085,1/22/2024,AG010,Divya Nair,Team A,Outbound,Resolved,349,4,Yes,Present
CALL0086,9/7/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,272,5,Yes,Present
CALL0087,3/31/2024,AG007,Arjun Mehta,Team C,Outbound,Escalated,675,3,No,Present
CALL0088,5/17/2024,AG010,Divya Nair,Team A,Outbound,Callback,122,3,No,Present
CALL0089,10/18/2024,AG008,Neha Patel,Team B,Outbound,Resolved,306,5,No,Present
CALL0090,6/23/2024,AG005,Vikram Yadav,Team A,Outbound,Callback,279,5,No,Present
CALL0091,4/7/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,284,4,Yes,Present
CALL0092,8/17/2024,AG008,Neha Patel,Team B,Inbound,Resolved,236,4,Yes,Present
CALL0093,8/30/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,370,5,Yes,Present
CALL0094,5/8/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,229,4,Yes,Late
CALL0095,4/8/2024,AG003,Rahul Verma,Team B,Inbound,Escalated,541,3,No,Late
CALL0096,11/1/2024,AG009,Karan Malhotra,Team C,Outbound,Abandoned,44,,No,Present
CALL0097,4/1/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,316,3,No,Present
CALL0098,12/23/2024,AG005,Vikram Yadav,Team A,Inbound,Escalated,651,1,No,Present
CALL0099,8/28/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,227,5,Yes,Present
CALL0100,2/3/2024,AG002,Priya Singh,Team A,Outbound,Resolved,327,5,No,Present
CALL0101,6/4/2024,AG010,Divya Nair,Team A,Inbound,Abandoned,35,,No,Present
CALL0102,11/6/2024,AG007,Arjun Mehta,Team C,Inbound,Callback,197,3,No,Present
CALL0103,8/7/2024,AG010,Divya Nair,Team A,Outbound,Resolved,195,5,Yes,Late
CALL0104,11/16/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,200,4,No,Present
CALL0105,7/28/2024,AG001,Amit Sharma,Team A,Outbound,Escalated,640,2,No,Present
CALL0106,12/25/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,239,5,Yes,Present
CALL0107,8/5/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,345,3,Yes,Present
CALL0108,3/25/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,391,5,Yes,Present
CALL0109,12/24/2024,AG005,Vikram Yadav,Team A,Outbound,Abandoned,84,,No,Present
CALL0110,2/11/2024,AG008,Neha Patel,Team B,Inbound,Callback,288,3,No,Present
CALL0111,4/27/2024,AG002,Priya Singh,Team A,Inbound,Abandoned,54,,No,Present
CALL0112,8/28/2024,AG003,Rahul Verma,Team B,Outbound,Abandoned,43,,No,Late
CALL0113,11/21/2024,AG007,Arjun Mehta,Team C,Outbound,Abandoned,80,,No,Present
CALL0114,6/13/2024,AG006,Pooja Jain,Team C,Inbound,Callback,184,3,No,Present
CALL0115,10/8/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,260,4,No,Present
CALL0116,1/1/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,228,4,Yes,Present
CALL0117,1/27/2024,AG008,Neha Patel,Team B,Inbound,Resolved,213,5,Yes,Present
CALL0118,1/15/2024,AG002,Priya Singh,Team A,Inbound,Escalated,559,2,No,Present
CALL0119,4/25/2024,AG002,Priya Singh,Team A,Inbound,Resolved,210,5,No,Absent
CALL0120,9/17/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,303,5,Yes,Present
CALL0121,4/7/2024,AG007,Arjun Mehta,Team C,Inbound,Callback,170,4,No,Present
CALL0122,9/16/2024,AG006,Pooja Jain,Team C,Outbound,Callback,172,4,No,Present
CALL0123,12/3/2024,AG010,Divya Nair,Team A,Outbound,Callback,214,3,No,Present
CALL0124,10/5/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,262,5,Yes,Present
CALL0125,4/29/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,370,4,Yes,Present
CALL0126,9/10/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,331,4,No,Present
CALL0127,9/26/2024,AG002,Priya Singh,Team A,Outbound,Resolved,216,4,Yes,Present
CALL0128,5/15/2024,AG008,Neha Patel,Team B,Outbound,Escalated,603,3,No,Present
CALL0129,7/13/2024,AG009,Karan Malhotra,Team C,Outbound,Escalated,649,4,No,Present
CALL0130,4/30/2024,AG002,Priya Singh,Team A,Outbound,Abandoned,31,,No,Present
CALL0131,11/20/2024,AG002,Priya Singh,Team A,Inbound,Resolved,357,4,No,Present
CALL0132,5/30/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,217,4,Yes,Present
CALL0133,3/28/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,402,4,Yes,Present
CALL0134,3/14/2024,AG010,Divya Nair,Team A,Inbound,Resolved,245,4,Yes,Absent
CALL0135,5/27/2024,AG008,Neha Patel,Team B,Inbound,Resolved,268,5,Yes,Late
CALL0136,8/21/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,278,5,No,Present
CALL0137,10/21/2024,AG006,Pooja Jain,Team C,Outbound,Abandoned,57,,No,Present
CALL0138,5/20/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,355,5,Yes,Absent
CALL0139,5/26/2024,AG008,Neha Patel,Team B,Inbound,Escalated,580,1,No,Present
CALL0140,12/13/2024,AG005,Vikram Yadav,Team A,Inbound,Escalated,420,2,No,Present
CALL0141,7/5/2024,AG010,Divya Nair,Team A,Inbound,Resolved,255,4,Yes,Present
CALL0142,7/6/2024,AG009,Karan Malhotra,Team C,Outbound,Callback,165,5,No,Late
CALL0143,6/22/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,199,3,Yes,Present
CALL0144,10/12/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,281,3,Yes,Present
CALL0145,10/26/2024,AG005,Vikram Yadav,Team A,Outbound,Callback,195,2,No,Present
CALL0146,11/13/2024,AG001,Amit Sharma,Team A,Outbound,Abandoned,48,,No,Present
CALL0147,12/24/2024,AG008,Neha Patel,Team B,Outbound,Escalated,459,1,No,Late
CALL0148,9/9/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,407,4,Yes,Present
CALL0149,8/2/2024,AG009,Karan Malhotra,Team C,Inbound,Callback,267,2,No,Present
CALL0150,5/23/2024,AG007,Arjun Mehta,Team C,Inbound,Escalated,511,2,No,Late
CALL0151,2/20/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,345,4,Yes,Present
CALL0152,8/20/2024,AG002,Priya Singh,Team A,Inbound,Escalated,410,1,No,Present
CALL0153,10/16/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,375,5,Yes,Present
CALL0154,6/17/2024,AG004,Sneha Gupta,Team B,Inbound,Callback,252,2,No,Present
CALL0155,3/7/2024,AG003,Rahul Verma,Team B,Outbound,Callback,128,4,No,Present
CALL0156,7/2/2024,AG001,Amit Sharma,Team A,Inbound,Resolved,184,4,No,Present
CALL0157,2/28/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,379,4,Yes,Present
CALL0158,11/10/2024,AG004,Sneha Gupta,Team B,Inbound,Escalated,666,2,No,Present
CALL0159,2/1/2024,AG001,Amit Sharma,Team A,Outbound,Callback,209,4,No,Present
CALL0160,2/7/2024,AG008,Neha Patel,Team B,Inbound,Resolved,217,3,Yes,Present
CALL0161,12/30/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,332,4,Yes,Present
CALL0162,12/25/2024,AG002,Priya Singh,Team A,Inbound,Callback,266,5,No,Present
CALL0163,8/8/2024,AG004,Sneha Gupta,Team B,Outbound,Callback,205,3,No,Present
CALL0164,2/18/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,350,4,Yes,Present
CALL0165,2/4/2024,AG008,Neha Patel,Team B,Inbound,Callback,123,3,No,Present
CALL0166,3/7/2024,AG006,Pooja Jain,Team C,Inbound,Resolved,323,5,Yes,Present
CALL0167,1/27/2024,AG007,Arjun Mehta,Team C,Outbound,Escalated,580,1,No,Present
CALL0168,12/2/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,207,4,Yes,Present
CALL0169,10/20/2024,AG005,Vikram Yadav,Team A,Inbound,Callback,243,5,No,Present
CALL0170,12/11/2024,AG010,Divya Nair,Team A,Inbound,Escalated,536,1,No,Present
CALL0171,6/22/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,402,3,Yes,Present
CALL0172,2/16/2024,AG001,Amit Sharma,Team A,Inbound,Resolved,296,4,Yes,Present
CALL0173,11/1/2024,AG010,Divya Nair,Team A,Inbound,Callback,139,2,No,Present
CALL0174,5/19/2024,AG002,Priya Singh,Team A,Outbound,Escalated,648,3,No,Present
CALL0175,9/19/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,208,4,Yes,Present
CALL0176,1/24/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,333,3,Yes,Late
CALL0177,5/10/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,181,4,Yes,Present
CALL0178,12/26/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,393,5,Yes,Present
CALL0179,8/11/2024,AG001,Amit Sharma,Team A,Inbound,Resolved,199,5,Yes,Present
CALL0180,5/28/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,263,4,Yes,Present
CALL0181,2/15/2024,AG006,Pooja Jain,Team C,Outbound,Callback,162,3,No,Present
CALL0182,7/21/2024,AG002,Priya Singh,Team A,Outbound,Escalated,513,2,No,Present
CALL0183,11/20/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,229,5,Yes,Present
CALL0184,4/30/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,230,4,No,Present
CALL0185,3/31/2024,AG002,Priya Singh,Team A,Outbound,Resolved,324,5,Yes,Absent
CALL0186,11/25/2024,AG010,Divya Nair,Team A,Outbound,Callback,260,3,No,Present
CALL0187,8/14/2024,AG008,Neha Patel,Team B,Outbound,Callback,251,2,No,Present
CALL0188,8/24/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,274,5,No,Present
CALL0189,11/10/2024,AG002,Priya Singh,Team A,Outbound,Resolved,321,5,Yes,Present
CALL0190,11/29/2024,AG010,Divya Nair,Team A,Inbound,Resolved,301,4,Yes,Present
CALL0191,2/13/2024,AG006,Pooja Jain,Team C,Inbound,Resolved,361,4,Yes,Present
CALL0192,7/5/2024,AG003,Rahul Verma,Team B,Outbound,Abandoned,69,,No,Present
CALL0193,12/13/2024,AG006,Pooja Jain,Team C,Inbound,Callback,265,3,No,Present
CALL0194,12/13/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,365,5,Yes,Present
CALL0195,6/19/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,216,5,Yes,Present
CALL0196,3/7/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,276,5,Yes,Present
CALL0197,2/17/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,184,4,No,Present
CALL0198,4/8/2024,AG008,Neha Patel,Team B,Inbound,Abandoned,39,,No,Present
CALL0199,9/16/2024,AG002,Priya Singh,Team A,Inbound,Escalated,467,2,No,Present
CALL0200,12/20/2024,AG003,Rahul Verma,Team B,Inbound,Escalated,422,2,No,Present
CALL0201,8/15/2024,AG004,Sneha Gupta,Team B,Outbound,Callback,300,3,No,Present
CALL0202,8/28/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,326,5,Yes,Present
CALL0203,9/14/2024,AG007,Arjun Mehta,Team C,Outbound,Abandoned,45,,No,Present
CALL0204,5/8/2024,AG003,Rahul Verma,Team B,Inbound,Escalated,590,2,No,Present
CALL0205,3/4/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,221,4,Yes,Present
CALL0206,2/16/2024,AG007,Arjun Mehta,Team C,Inbound,Callback,189,5,No,Present
CALL0207,9/14/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,200,4,No,Absent
CALL0208,3/15/2024,AG006,Pooja Jain,Team C,Inbound,Resolved,414,5,Yes,Present
CALL0209,8/17/2024,AG008,Neha Patel,Team B,Inbound,Abandoned,22,,No,Present
CALL0210,10/7/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,253,4,No,Present
CALL0211,8/22/2024,AG010,Divya Nair,Team A,Inbound,Resolved,411,4,Yes,Present
CALL0212,5/3/2024,AG010,Divya Nair,Team A,Inbound,Resolved,180,5,Yes,Present
CALL0213,9/25/2024,AG002,Priya Singh,Team A,Outbound,Resolved,314,4,Yes,Present
CALL0214,7/18/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,279,5,Yes,Present
CALL0215,6/25/2024,AG002,Priya Singh,Team A,Inbound,Escalated,453,3,No,Present
CALL0216,3/9/2024,AG006,Pooja Jain,Team C,Inbound,Resolved,266,5,No,Present
CALL0217,12/22/2024,AG008,Neha Patel,Team B,Outbound,Escalated,469,1,No,Present
CALL0218,1/19/2024,AG008,Neha Patel,Team B,Outbound,Resolved,382,4,No,Absent
CALL0219,7/22/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,372,5,Yes,Present
CALL0220,12/1/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,384,4,Yes,Present
CALL0221,6/22/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,307,4,Yes,Present
CALL0222,8/5/2024,AG002,Priya Singh,Team A,Inbound,Resolved,390,4,Yes,Present
CALL0223,12/4/2024,AG006,Pooja Jain,Team C,Outbound,Resolved,334,5,No,Present
CALL0224,1/22/2024,AG008,Neha Patel,Team B,Outbound,Escalated,622,2,No,Late
CALL0225,2/8/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,385,5,No,Present
CALL0226,12/13/2024,AG010,Divya Nair,Team A,Outbound,Resolved,197,4,Yes,Present
CALL0227,1/17/2024,AG010,Divya Nair,Team A,Inbound,Escalated,589,2,No,Present
CALL0228,3/11/2024,AG010,Divya Nair,Team A,Outbound,Resolved,346,4,Yes,Present
CALL0229,9/12/2024,AG003,Rahul Verma,Team B,Outbound,Abandoned,35,,No,Present
CALL0230,12/26/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,336,4,Yes,Present
CALL0231,3/10/2024,AG002,Priya Singh,Team A,Inbound,Resolved,410,5,Yes,Present
CALL0232,12/7/2024,AG006,Pooja Jain,Team C,Outbound,Escalated,681,2,No,Absent
CALL0233,12/30/2024,AG003,Rahul Verma,Team B,Inbound,Callback,230,3,No,Late
CALL0234,5/1/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,321,5,Yes,Late
CALL0235,11/9/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,281,5,Yes,Present
CALL0236,10/21/2024,AG007,Arjun Mehta,Team C,Inbound,Resolved,261,5,Yes,Present
CALL0237,3/6/2024,AG006,Pooja Jain,Team C,Inbound,Callback,133,3,No,Absent
CALL0238,3/4/2024,AG001,Amit Sharma,Team A,Inbound,Resolved,221,4,Yes,Present
CALL0239,5/25/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,342,5,Yes,Present
CALL0240,9/30/2024,AG010,Divya Nair,Team A,Inbound,Resolved,223,5,Yes,Present
CALL0241,11/5/2024,AG010,Divya Nair,Team A,Outbound,Callback,244,2,No,Present
CALL0242,1/24/2024,AG002,Priya Singh,Team A,Outbound,Escalated,692,2,No,Present
CALL0243,11/17/2024,AG008,Neha Patel,Team B,Outbound,Escalated,554,2,No,Present
CALL0244,6/1/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,195,4,Yes,Present
CALL0245,11/6/2024,AG006,Pooja Jain,Team C,Inbound,Resolved,363,4,Yes,Present
CALL0246,3/7/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,207,4,Yes,Present
CALL0247,3/13/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,278,5,Yes,Late
CALL0248,6/16/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,220,4,Yes,Present
CALL0249,9/11/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,280,4,Yes,Present
CALL0250,1/25/2024,AG006,Pooja Jain,Team C,Inbound,Resolved,332,5,Yes,Present
CALL0251,1/5/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,405,4,Yes,Present
CALL0252,7/24/2024,AG001,Amit Sharma,Team A,Inbound,Resolved,229,4,Yes,Present
CALL0253,10/8/2024,AG008,Neha Patel,Team B,Outbound,Callback,259,4,No,Present
CALL0254,7/20/2024,AG002,Priya Singh,Team A,Outbound,Callback,186,4,No,Present
CALL0255,4/11/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,191,3,Yes,Present
CALL0256,8/21/2024,AG009,Karan Malhotra,Team C,Inbound,Escalated,663,1,No,Absent
CALL0257,3/24/2024,AG006,Pooja Jain,Team C,Outbound,Abandoned,58,,No,Present
CALL0258,9/17/2024,AG009,Karan Malhotra,Team C,Outbound,Escalated,553,2,No,Present
CALL0259,12/10/2024,AG006,Pooja Jain,Team C,Inbound,Abandoned,59,,No,Present
CALL0260,11/1/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,347,5,Yes,Present
CALL0261,10/25/2024,AG001,Amit Sharma,Team A,Outbound,Resolved,341,5,Yes,Present
CALL0262,1/17/2024,AG004,Sneha Gupta,Team B,Inbound,Resolved,292,4,No,Present
CALL0263,9/13/2024,AG007,Arjun Mehta,Team C,Outbound,Callback,288,4,No,Present
CALL0264,4/16/2024,AG009,Karan Malhotra,Team C,Outbound,Abandoned,81,,No,Present
CALL0265,3/29/2024,AG006,Pooja Jain,Team C,Outbound,Abandoned,63,,No,Present
CALL0266,11/8/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,243,4,Yes,Late
CALL0267,5/27/2024,AG005,Vikram Yadav,Team A,Inbound,Escalated,650,2,No,Present
CALL0268,5/27/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,319,4,Yes,Present
CALL0269,5/28/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,362,3,Yes,Present
CALL0270,4/19/2024,AG008,Neha Patel,Team B,Inbound,Callback,169,5,No,Present
CALL0271,2/25/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,351,5,Yes,Present
CALL0272,7/30/2024,AG002,Priya Singh,Team A,Outbound,Escalated,451,3,No,Present
CALL0273,3/21/2024,AG009,Karan Malhotra,Team C,Outbound,Escalated,643,2,No,Present
CALL0274,6/13/2024,AG005,Vikram Yadav,Team A,Outbound,Escalated,445,3,No,Present
CALL0275,3/30/2024,AG001,Amit Sharma,Team A,Outbound,Callback,145,5,No,Present
CALL0276,9/10/2024,AG007,Arjun Mehta,Team C,Inbound,Abandoned,57,,No,Present
CALL0277,6/1/2024,AG001,Amit Sharma,Team A,Inbound,Abandoned,62,,No,Present
CALL0278,9/25/2024,AG009,Karan Malhotra,Team C,Outbound,Callback,134,5,No,Present
CALL0279,2/27/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,297,5,Yes,Present
CALL0280,5/31/2024,AG006,Pooja Jain,Team C,Inbound,Resolved,399,5,Yes,Present
CALL0281,2/14/2024,AG006,Pooja Jain,Team C,Outbound,Escalated,494,4,No,Present
CALL0282,1/4/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,294,5,Yes,Present
CALL0283,1/6/2024,AG010,Divya Nair,Team A,Outbound,Escalated,520,1,No,Present
CALL0284,3/22/2024,AG005,Vikram Yadav,Team A,Outbound,Escalated,559,3,No,Present
